all_numbers,document_value,probability,receipt,rosies_tweet,remark_value,total_net_value,total_value,document_id,last_update,year,applicant_id,congressperson_id,congressperson_name,congressperson_document,party,state,term_id,term,subquota_number,subquota_description,subquota_group_id,subquota_group_description,supplier,cnpj_cpf,document_type,document_number,issue_date,month,installment,batch_number,passenger,leg_of_the_trip,suspicions,receipt_text,search_vector
[],69.8,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/3229/2019/6778089.pdf'}",,0.0,69.8,0.0,6778089,2019-08-11T23:52:04.224667-03:00,2019,3229,204399,SCHIAVINATO,469,PP,PR,56,2019,13,Congressperson meal,0,,AEROTRIO ALIMENTOS LIMITADA ME,19837000000179,4,017315,2019-02-28,2,0,1573322,,,,,
[],59.9,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/2238/2019/6781382.pdf'}",,0.0,59.9,0.0,6781382,2019-08-11T23:52:08.082495-03:00,2019,2238,160592,ZECA DIRCEU,468,PT,PR,56,2019,13,Congressperson meal,0,,BOM SENSO CAFE e RESTAURANTE LTDA,00347918000292,4,026723,2019-02-27,2,0,1574742,,,,,
[],183.0,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/3438/2019/6778879.pdf'}",,0.0,183.0,0.0,6778879,2019-08-11T23:52:04.311075-03:00,2019,3438,205865,REINHOLD STEPHANES JUNIOR,528,PSD,PR,56,2019,13,Congressperson meal,0,,LAS TABLAS RESTAURANTE LTDA,17048441000166,4,31011,2019-02-27,2,0,1573616,,,,,
[],75.75,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/2983/2019/6777834.pdf'}",,0.0,75.75,0.0,6777834,2019-08-11T23:52:04.197159-03:00,2019,2983,178928,CHRISTIANE DE SOUZA YARED,442,PL,PR,56,2019,13,Congressperson meal,0,,KANDOO CULINARIA JAPONESA LTDA. - ME,18189477000122,4,90858,2019-02-27,2,0,1573170,,,,,
[],96.3,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/3211/2019/6774262.pdf'}",,0.0,96.3,0.0,6774262,2019-08-11T23:52:03.920893-03:00,2019,3211,204387,SARGENTO FAHUR,464,PSD,PR,56,2019,13,Congressperson meal,0,,ROSSONI RESTAURANTE E BAR LTDA,25106705000119,4,139692,2019-02-27,2,0,1572795,,,,,
[],65.78,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/3228/2019/6786612.pdf'}",,0.0,65.78,0.0,6786612,2019-08-11T23:52:12.134673-03:00,2019,3228,204411,FILIPE BARROS,450,PSL,PR,56,2019,13,Congressperson meal,0,,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,33469172001644,4,21149,2019-02-26,2,0,1576637,,,,,
[],84.0,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/831/2019/6774424.pdf'}",,0.0,84.0,0.0,6774424,2019-08-11T23:52:03.931871-03:00,2019,831,73466,RUBENS BUENO,460,CIDADANIA,PR,56,2019,13,Congressperson meal,0,,NOSSO ITALIANO RESTAURANTE LTDA,30780486000199,4,7578,2019-02-26,2,0,1571969,,,,,
[],74.69,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/3228/2019/6786597.pdf'}",,0.0,74.69,0.0,6786597,2019-08-11T23:52:12.133349-03:00,2019,3228,204411,FILIPE BARROS,450,PSL,PR,56,2019,13,Congressperson meal,0,,CANTUCCI COMERCIO DE ALIMENTOS E VARIEDADES LTDA,13360660000125,4,19146,2019-02-26,2,0,1576637,,,,,
[],30.29,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/2238/2019/6773156.pdf'}",,0.0,30.29,0.0,6773156,2019-08-11T23:52:00.097341-03:00,2019,2238,160592,ZECA DIRCEU,468,PT,PR,56,2019,13,Congressperson meal,0,,GOODS RESTAURANTE E LANCHONETE EIRELI,20011372000120,4,6282,2019-02-26,2,0,1571878,,,,,
[],22.48,,"{'fetched': True, 'url': 'http://www.camara.gov.br/cota-parlamentar/documentos/publ/2238/2019/6774143.pdf'}",,0.0,22.48,0.0,6774143,2019-08-11T23:52:03.910745-03:00,2019,2238,160592,ZECA DIRCEU,468,PT,PR,56,2019,13,Congressperson meal,0,,SILT SELF SERVICE EIRELI ME,07286731000194,4,21201,2019-02-26,2,0,1571878,,,,,
